USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
abhinavsuri        966   0.0  0.0 435587456   2560   ??  Ss   11:18PM   0:00.05 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/Extensions/SafariWidgetExtension.appex/Contents/MacOS/SafariWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5TYWZhcmkuU2FmYXJpV2lkZ2V0RXh0ZW5zaW9uIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
abhinavsuri        965   0.0  0.0 435344768    944   ??  S    11:18PM   0:02.23 /System/Library/PrivateFrameworks/IMTransferServices.framework/IMTransferAgent.app/Contents/MacOS/IMTransferAgent
abhinavsuri        622   0.0  0.1 435360784   7408   ??  S    11:17PM   0:02.68 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
abhinavsuri        962   0.0  0.1 435368560   7888   ??  S    11:18PM   0:01.67 /Library/Apple/System/Library/PrivateFrameworks/RemotePairing.framework/Versions/A/XPCServices/remotepairingd.xpc/Contents/MacOS/remotepairingd
abhinavsuri        960   0.0  0.0 435343520   2416   ??  S    11:18PM   0:00.22 /System/Cryptexes/App/usr/libexec/webinspectord
abhinavsuri        958   0.0  0.0 435305776   3792   ??  Ss   11:18PM   0:00.24 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/XPCServices/com.apple.Safari.SandboxBroker.xpc/Contents/MacOS/com.apple.Safari.SandboxBroker
abhinavsuri        957   0.0  0.0 439701216   2272   ??  Ss   11:18PM   0:00.77 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.Networking.xpc/Contents/MacOS/com.apple.WebKit.Networking
abhinavsuri        953   0.0  0.0 435305152   1584   ??  S    11:18PM   0:00.05 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
root               951   0.0  0.0 435313936    912   ??  Ss   11:18PM   0:00.05 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
abhinavsuri        943   0.0  0.1 486091568   9728   ??  S    11:17PM   0:00.97 /Users/abhinavsuri/Desktop/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.82/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-GB --service-sandbox-type=service --metrics-client-id=1e758e4b-16ab-404e-82a6-aef5a00e49ae --shared-files --metrics-shmem-handle=1752395122,r,11670147988339790383,9067082309811321116,524288 --field-trial-handle=1718379636,r,14772465451866465263,3720238596139465959,262144 --variations-seed-version=20260903-090042.078000-production --pseudonymization-salt-handle=1935764596,r,16596995124294160830,11069550394775123762,4 --trace-process-track-uuid=3190708990060038890 --seatbelt-client=34
abhinavsuri        941   0.0  0.5 486909344  40144   ??  S    11:17PM   1:04.15 /Users/abhinavsuri/Desktop/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.82/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=gpu-process --metrics-client-id=1e758e4b-16ab-404e-82a6-aef5a00e49ae --gpu-preferences=WAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAQAAAAAAAAAADAAAAAAAAADgAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAKAAAAAAAAAAoAAAAAAAAAAgAAAAAAAAADAAAAAEAAAAAAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --shared-files --metrics-shmem-handle=1752395122,r,18181531005757278269,16625937710727741697,262144 --field-trial-handle=1718379636,r,14772465451866465263,3720238596139465959,262144 --variations-seed-version=20260903-090042.078000-production --pseudonymization-salt-handle=1935764596,r,16596995124294160830,11069550394775123762,4 --trace-process-track-uuid=3190708988185955192 --seatbelt-client=17
abhinavsuri        940   0.0  0.0 435341136   3232   ??  S    11:17PM   0:00.49 /System/Library/PrivateFrameworks/Synapse.framework/Support/contentlinkingd
_applepay          939   0.0  0.0 435305232   1392   ??  S    11:17PM   0:00.21 /usr/sbin/distnoted agent
abhinavsuri        936   0.0  0.0 468923328   1840   ??  S    11:17PM   0:00.03 /Applications/Visual Studio Code.app/Contents/Frameworks/Electron Framework.framework/Helpers/chrome_crashpad_handler --no-rate-limit --monitor-self-annotation=ptype=crashpad-handler --database=/Users/abhinavsuri/Library/Application Support/Code/Crashpad --url=appcenter://code?aid=de75e3cc-e22f-4f42-a03f-1409c21d8af8&uid=ad13e04e-d5cb-43f2-b497-e6f2ef21d9b2&iid=ad13e04e-d5cb-43f2-b497-e6f2ef21d9b2&sid=ad13e04e-d5cb-43f2-b497-e6f2ef21d9b2 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.119.0 --annotation=plat=OS X --annotation=prod=Electron --annotation=ver=39.8.8 --handshake-fd=21
abhinavsuri        933   0.0  0.1 435351632   4336   ??  S    11:17PM   0:01.93 /System/Library/PrivateFrameworks/PassKitCore.framework/passd
abhinavsuri        932   0.0  0.0 435355328   2496   ??  Ss   11:17PM   0:00.05 /System/Library/CoreServices/PeopleViewService.app/Contents/PlugIns/PeopleWidget_macOSExtension.appex/Contents/MacOS/PeopleWidget_macOSExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5QZW9wbGVWaWV3U2VydmljZS5QZW9wbGVXaWRnZXQtbWFjT1MiLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
abhinavsuri        927   0.0  0.0 435392528   3856   ??  S    11:17PM   0:00.79 /usr/libexec/textunderstandingd
abhinavsuri        924   0.0  0.1 1949210368   7056   ??  S    11:17PM   0:00.77 /Applications/Notion.app/Contents/Frameworks/Notion Helper (Renderer).app/Contents/MacOS/Notion Helper (Renderer) --type=renderer --user-data-dir=/Users/abhinavsuri/Library/Application Support/Notion --app-path=/Applications/Notion.app/Contents/Resources/app.asar --enable-sandbox --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=7 --time-ticks-at-unix-epoch=-1788544023280234 --launch-time-ticks=54329010 --shared-files --field-trial-handle=1718379636,r,6611293277580793386,2224074771638062598,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,MacCatapLoopbackAudioForScreenShare,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,16419770909980296993,190578566122567937,4 --trace-process-track-uuid=3190708992871164437 --seatbelt-client=75
_spotlight         921   0.0  0.0 435342352   2272   ??  SN   11:17PM   0:00.96 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
abhinavsuri        923   0.0  0.0 485701440   1728   ??  S    11:17PM   0:00.03 /Users/abhinavsuri/Desktop/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.82/Helpers/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --database=/Users/abhinavsuri/Library/Application Support/Google/Chrome/Crashpad --metrics-dir=/Users/abhinavsuri/Library/Application Support/Google/Chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=plat=OS X --annotation=prod=Chrome_Mac --annotation=ver=152.0.7977.82 --handshake-fd=5
abhinavsuri        918   0.0  0.2 1949219520  14192   ??  S    11:17PM   0:07.49 /Applications/Notion.app/Contents/Frameworks/Notion Helper.app/Contents/MacOS/Notion Helper --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-GB --service-sandbox-type=none --user-data-dir=/Users/abhinavsuri/Library/Application Support/Notion --shared-files --field-trial-handle=1718379636,r,6611293277580793386,2224074771638062598,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,MacCatapLoopbackAudioForScreenShare,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,16419770909980296993,190578566122567937,4 --trace-process-track-uuid=3190708990060038890
abhinavsuri        915   0.0  0.0 435346384   2848   ??  S    11:17PM   0:00.41 /System/Library/PrivateFrameworks/MapsSync.framework/mapssyncd
abhinavsuri        913   0.0  0.1 486230816  10320   ??  S    11:17PM   0:01.55 /Applications/Notion.app/Contents/Frameworks/Notion Helper.app/Contents/MacOS/Notion Helper --type=gpu-process --user-data-dir=/Users/abhinavsuri/Library/Application Support/Notion --gpu-preferences=SAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAAwAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=1718379636,r,6611293277580793386,2224074771638062598,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,MacCatapLoopbackAudioForScreenShare,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,16419770909980296993,190578566122567937,4 --trace-process-track-uuid=3190708988185955192 --seatbelt-client=30
abhinavsuri        911   0.0  0.0 435355280   2480   ??  Ss   11:17PM   0:00.04 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5pQ2FsLkNhbGVuZGFyV2lkZ2V0RXh0ZW5zaW9uIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
abhinavsuri        910   0.0  0.0 435305760   2720   ??  S    11:17PM   0:00.81 /usr/libexec/SidecarRelay
_spotlight         908   0.0  0.0 435305104   1504   ??  S    11:17PM   0:00.23 /usr/sbin/distnoted agent
abhinavsuri        906   0.0  0.0 435354096   2384   ??  Ss   11:17PM   0:00.03 /System/Applications/Photos.app/Contents/PlugIns/PhotosReliveWidget.appex/Contents/MacOS/PhotosReliveWidget -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5QaG90b3MuUGhvdG9zUmVsaXZlV2lkZ2V0IiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
abhinavsuri        905   0.0  0.0 435341296   3376   ??  Ss   11:17PM   0:00.05 /System/Applications/Weather.app/Contents/PlugIns/WeatherIntents.appex/Contents/MacOS/WeatherIntents -AppleLanguages ("en-IN")
_accessoryupdater   900   0.0  0.0 435305616   1344   ??  S    11:17PM   0:00.21 /usr/sbin/distnoted agent
_accessoryupdater   901   0.0  0.0 435350848   2624   ??  Ss   11:17PM   0:01.34 /System/Library/PrivateFrameworks/MobileAccessoryUpdater.framework/XPCServices/UARPUpdaterServiceUSBPD.xpc/Contents/MacOS/UARPUpdaterServiceUSBPD
abhinavsuri        896   0.0  0.0 435358768   3632   ??  Ss   11:17PM   0:00.12 /System/Applications/Home.app/Contents/PlugIns/HomeEnergyWidgetsExtension.appex/Contents/MacOS/HomeEnergyWidgetsExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Ib21lLkhvbWVFbmVyZ3lXaWRnZXRzIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
abhinavsuri        894   0.0  0.1 435345488   5952   ??  S    11:17PM   0:09.29 /System/Library/CoreServices/UniversalControl.app/Contents/MacOS/UniversalControl
abhinavsuri        893   0.0  0.1 486170496  11520   ??  S    11:17PM   0:02.67 /Applications/Notion Calendar.app/Contents/Frameworks/Notion Calendar Helper.app/Contents/MacOS/Notion Calendar Helper --type=gpu-process --user-data-dir=/Users/abhinavsuri/Library/Application Support/Notion Calendar --gpu-preferences=SAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAAwAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=1718379636,r,5107390875587069164,5198617035562054307,262144 --enable-features=PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,7450477029773541207,11726322477684610328,4 --trace-process-track-uuid=3190708988185955192 --seatbelt-client=31
abhinavsuri        889   0.0  0.0 435360368   3472   ??  Ss   11:17PM   0:00.06 /System/Applications/Journal.app/Contents/PlugIns/JournalWidgetsSecure.appex/Contents/MacOS/JournalWidgetsSecure -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5qb3VybmFsLndpZGdldHMuc2VjdXJlIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
_driverkit         888   0.0  0.0 435239888   1104   ??  Ss   11:17PM   0:00.01 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000fb6 com.apple.IOUserBluetoothSerialDriver
_driverkit         887   0.0  0.0 435239888   1104   ??  Ss   11:17PM   0:00.01 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000fb4 com.apple.IOUserBluetoothSerialDriver
_driverkit         886   0.0  0.0 435239968   1104   ??  Ss   11:17PM   0:00.01 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000fb2 com.apple.IOUserBluetoothSerialDriver
_driverkit         885   0.0  0.0 435239504   1104   ??  Ss   11:17PM   0:00.01 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000fb0 com.apple.IOUserBluetoothSerialDriver
_driverkit         883   0.0  0.0 435239584   1104   ??  Ss   11:17PM   0:00.01 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000fae com.apple.IOUserBluetoothSerialDriver
_driverkit         882   0.0  0.0 435240016   1104   ??  Ss   11:17PM   0:00.01 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000fac com.apple.IOUserBluetoothSerialDriver
_driverkit         881   0.0  0.0 435239824   1104   ??  Ss   11:17PM   0:00.01 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver com.apple.IOUserBluetoothSerialDriver 0x100000faa com.apple.IOUserBluetoothSerialDriver
abhinavsuri        879   0.0  0.0 435353840   3456   ??  SN   11:17PM   0:04.98 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport -s mdworker-bundle -c MDSImporterBundleFinder -m com.apple.metadata.mdbulkimport
abhinavsuri        871   0.0  0.0 435375968   3664   ??  Ss   11:17PM   0:00.15 /System/Applications/Weather.app/Contents/PlugIns/WeatherWidget.appex/Contents/MacOS/WeatherWidget -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS53ZWF0aGVyLndpZGdldCIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlfQ==
_securityagent     870   0.0  0.0 435304928   1328   ??  S    11:17PM   0:00.21 /usr/sbin/distnoted agent
abhinavsuri        869   0.0  0.0 435355120   3312   ??  Ss   11:17PM   0:00.04 /System/Applications/VoiceMemos.app/Contents/PlugIns/VoiceMemosSettingsWidgetExtension.appex/Contents/MacOS/VoiceMemosSettingsWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Wb2ljZU1lbW9zLlZvaWNlTWVtb3NTZXR0aW5nc1dpZGdldCIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlfQ==
abhinavsuri        867   0.0  0.1 435394608   5888   ??  S    11:17PM   0:02.23 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
abhinavsuri        866   0.0  0.0 435340960   2368   ??  Ss   11:17PM   0:00.05 /System/Library/PrivateFrameworks/MobileTimer.framework/PlugIns/MobileTimerIntents.appex/Contents/MacOS/MobileTimerIntents -AppleLanguages ("en-IN")
abhinavsuri        865   0.0  0.0 435371376   3648   ??  Ss   11:17PM   0:00.12 /System/Applications/Home.app/Contents/PlugIns/HomeWidget.appex/Contents/MacOS/HomeWidget -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Ib21lLkhvbWVXaWRnZXQuSW50ZXJhY3RpdmUiLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
abhinavsuri        862   0.0  0.0 435355648   3504   ??  Ss   11:17PM   0:00.06 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetPeople.appex/Contents/MacOS/FindMyWidgetPeople -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5maW5kbXkuRmluZE15V2lkZ2V0UGVvcGxlIiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
abhinavsuri        861   0.0  0.0 435351056   3136   ??  S    11:17PM   0:00.37 /System/Library/Frameworks/StoreKit.framework/Support/storekitagent
abhinavsuri        860   0.0  0.0 435344768   3392   ??  Ss   11:17PM   0:00.05 /System/Library/CoreServices/Screen Time.app/Contents/PlugIns/ScreenTimeWidgetIntentsExtension.appex/Contents/MacOS/ScreenTimeWidgetIntentsExtension -AppleLanguages ("en-IN")
abhinavsuri        859   0.0  0.0 435355168   3472   ??  Ss   11:17PM   0:00.05 /System/Library/CoreServices/Batteries.app/Contents/PlugIns/BatteriesAvocadoWidgetExtension.appex/Contents/MacOS/BatteriesAvocadoWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5CYXR0ZXJpZXMuQmF0dGVyaWVzQXZvY2Fkb1dpZGdldEV4dGVuc2lvbiIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlfQ==
abhinavsuri        858   0.0  0.0 435363712   3616   ??  Ss   11:17PM   0:00.15 /System/Applications/Stocks.app/Contents/PlugIns/StocksWidget.appex/Contents/MacOS/StocksWidget -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5zdG9ja3Mud2lkZ2V0IiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
abhinavsuri        855   0.0  0.0 435355792   3440   ??  Ss   11:17PM   0:00.07 /System/Applications/FindMy.app/Contents/PlugIns/FindMyWidgetItems.appex/Contents/MacOS/FindMyWidgetItems -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5maW5kbXkuRmluZE15V2lkZ2V0SXRlbXMiLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
abhinavsuri        854   0.0  0.0 435356688   3552   ??  Ss   11:17PM   0:00.09 /System/Applications/Clock.app/Contents/PlugIns/WorldClockWidget.appex/Contents/MacOS/WorldClockWidget -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5jbG9jay5Xb3JsZENsb2NrV2lkZ2V0IiwiZW5oYW5jZWRTZWN1cml0eSI6ZmFsc2V9
abhinavsuri        853   0.0  0.0 435377904   3568   ??  Ss   11:17PM   0:00.11 /System/Applications/Podcasts.app/Contents/PlugIns/PodcastsWidget.appex/Contents/MacOS/PodcastsWidget -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5wb2RjYXN0cy53aWRnZXQiLCJlbmhhbmNlZFNlY3VyaXR5IjpmYWxzZX0=
abhinavsuri        852   0.0  0.0 435354752   3312   ??  Ss   11:17PM   0:00.06 /System/Applications/VoiceMemos.app/Contents/PlugIns/RecordWidgetExtension.appex/Contents/MacOS/RecordWidgetExtension -LaunchArguments eyJ0eXBlIjoxLCJzZXJ2aWNlTmFtZSI6ImNvbS5hcHBsZS5Wb2ljZU1lbW9zLlJlY29yZFdpZGdldCIsImVuaGFuY2VkU2VjdXJpdHkiOmZhbHNlfQ==
abhinavsuri        846   0.0  0.1 486115840   5968   ??  S    11:17PM   0:00.36 /Applications/Comet.app/Contents/Frameworks/Comet Framework.framework/Versions/151.0.7922.247/Helpers/Comet Helper.app/Contents/MacOS/Comet Helper --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=service --shared-files --metrics-shmem-handle=1752395122,r,6577842580498941960,1209878715265228897,524288 --field-trial-handle=1718379636,r,685540690387492890,15826358813249274395,262144 --disable-features=Allow-external-extensions-scripting-on-NTP --variations-seed-version --pseudonymization-salt-handle=1935764596,r,15422663741087110180,3353455984449894888,4 --trace-process-track-uuid=3190708990060038890 --seatbelt-client=41
abhinavsuri        845   0.0  0.1 486165632  10128   ??  S    11:17PM   0:08.10 /Applications/Comet.app/Contents/Frameworks/Comet Framework.framework/Versions/151.0.7922.247/Helpers/Comet Helper.app/Contents/MacOS/Comet Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=network --start-stack-profiler --shared-files --metrics-shmem-handle=1752395122,r,7535224052825500843,16182527612073134832,524288 --field-trial-handle=1718379636,r,685540690387492890,15826358813249274395,262144 --disable-features=Allow-external-extensions-scripting-on-NTP --variations-seed-version --pseudonymization-salt-handle=1935764596,r,15422663741087110180,3353455984449894888,4 --trace-process-track-uuid=3190708989122997041 --seatbelt-client=23
abhinavsuri        844   0.0  0.1 486259584  10464   ??  S    11:17PM   0:22.29 /Applications/Comet.app/Contents/Frameworks/Comet Framework.framework/Versions/151.0.7922.247/Helpers/Comet Helper.app/Contents/MacOS/Comet Helper --type=gpu-process --start-stack-profiler --gpu-preferences=WAAAAAAAAAAgAQAEAAAAAAAAAAAAAGAAQAAAAAAAAAADAAAAAAAAADgAAAAAAAAAAAAAAAAAAAACAAAAAAAAAAAAAAAAAAAAKAAAAAAAAAAoAAAAAAAAAAgAAAAAAAAADAAAAAEAAAAAAAAAAAAAAAgAAAAAAAAACAAAAAAAAAA= --shared-files --metrics-shmem-handle=1752395122,r,7858349542325868017,9293368670981707722,262144 --field-trial-handle=1718379636,r,685540690387492890,15826358813249274395,262144 --disable-features=Allow-external-extensions-scripting-on-NTP --variations-seed-version --pseudonymization-salt-handle=1935764596,r,15422663741087110180,3353455984449894888,4 --trace-process-track-uuid=3190708988185955192 --seatbelt-client=23
abhinavsuri        840   0.0  0.0 485700880   1872   ??  S    11:17PM   0:00.03 /Applications/Comet.app/Contents/Frameworks/Comet Framework.framework/Versions/151.0.7922.247/Helpers/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --database=/Users/abhinavsuri/Library/Application Support/Comet/Crashpad --url=https://o4504136533147648.ingest.us.sentry.io/api/4508489400123392/minidump/?sentry_key=6862c0f9ce7db97a4682a9a4f269e0bd --annotation=plat=OS X --annotation=prod=Comet_Mac --annotation=ver=151.0.7922.247 --handshake-fd=5
abhinavsuri        837   0.0  0.1 435348864   6560   ??  S    11:17PM   0:01.38 /System/Library/Frameworks/Contacts.framework/Support/postersyncd
abhinavsuri        834   0.0  0.1 485994480   6400   ??  S    11:17PM   0:00.46 /Applications/Spotify.app/Contents/Frameworks/Spotify Helper.app/Contents/MacOS/Spotify Helper --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en --service-sandbox-type=service --user-data-dir=/Users/abhinavsuri/Library/Caches/com.spotify.client --log-severity=disable --user-agent-product=Chrome/146.0.7680.179 Spotify/1.2.98.301 --shared-files --metrics-shmem-handle=1752395122,r,10304909194654998635,5189037997942178951,524288 --field-trial-handle=1718379636,r,9121748217547424797,13873772898383627748,262144 --disable-features=AutofillActorMode,BackForwardCache,FullscreenBubbleShowOrigin,GatherProcessRequirementMetrics,GlicActorUi,LensOverlay,MacAppCodeSignClone,PartitionAllocDanglingPtr,PartitionAllocUnretainedDanglingPtr,StorageNotificationService --variations-seed-version --pseudonymization-salt-handle=1935764596,r,5900328165181665128,8188878054455220361,4 --trace-process-track-uuid=3190708990060038890 --seatbelt-client=34
abhinavsuri        832   0.0  0.3 486045152  21792   ??  S    11:17PM   0:04.92 /Applications/Spotify.app/Contents/Frameworks/Spotify Helper.app/Contents/MacOS/Spotify Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en --service-sandbox-type=network --start-stack-profiler --user-data-dir=/Users/abhinavsuri/Library/Caches/com.spotify.client --log-severity=disable --user-agent-product=Chrome/146.0.7680.179 Spotify/1.2.98.301 --shared-files --metrics-shmem-handle=1752395122,r,15142989730861032014,7145480907740119711,524288 --field-trial-handle=1718379636,r,9121748217547424797,13873772898383627748,262144 --disable-features=AutofillActorMode,BackForwardCache,FullscreenBubbleShowOrigin,GatherProcessRequirementMetrics,GlicActorUi,LensOverlay,MacAppCodeSignClone,PartitionAllocDanglingPtr,PartitionAllocUnretainedDanglingPtr,StorageNotificationService --variations-seed-version --pseudonymization-salt-handle=1935764596,r,5900328165181665128,8188878054455220361,4 --trace-process-track-uuid=3190708989122997041 --seatbelt-client=30
